 Escolaridade da população de 15 anos ou mais - Brasil
Distrib população p/escolarid por Município e Escolaridade
Período:1991
"Município";"Menos de 1 ano de estudo";"1 a 3 anos de estudo";"4 a 7 anos de estudo";"8 anos e mais de estudo";"Não determinada";"Total"
"110001 ALTA FLORESTA D'OESTE";23,43;29,48;37,32;9,63;0,15;100,00
"110002 ARIQUEMES";20,64;25,40;38,10;15,53;0,33;100,00
"110003 CABIXI";24,43;28,42;37,27;9,39;0,50;100,00
"110004 CACOAL";22,54;23,10;38,46;15,58;0,32;100,00
"110005 CEREJEIRAS";22,94;22,91;39,40;14,06;0,69;100,00
"110006 COLORADO DO OESTE";26,14;25,69;37,47;10,10;0,61;100,00
"110008 COSTA MARQUES";22,50;24,21;35,65;17,64;-;100,00
"110009 ESPIGAO D'OESTE";21,45;28,68;34,56;15,10;0,20;100,00
"110010 GUAJARA-MIRIM";18,36;17,28;34,69;29,22;0,45;100,00
"110011 JARU";28,76;27,17;33,95;9,84;0,29;100,00
"110012 JI-PARANA";19,61;19,99;37,79;22,11;0,50;100,00
"110013 MACHADINHO D'OESTE";30,93;27,18;31,63;9,62;0,64;100,00
"110014 NOVA BRASILANDIA D'OESTE";29,87;25,24;37,64;7,24;-;100,00
"110015 OURO PRETO DO OESTE";28,30;25,31;36,41;9,47;0,50;100,00
"110018 PIMENTA BUENO";22,28;23,49;39,42;14,57;0,23;100,00
"110020 PORTO VELHO";14,24;15,39;35,15;34,81;0,40;100,00
"110025 PRESIDENTE MEDICI";27,72;25,17;35,65;10,34;1,12;100,00
"110028 ROLIM DE MOURA";24,71;26,28;37,05;11,84;0,12;100,00
"110029 SANTA LUZIA D'OESTE";30,65;30,83;30,35;8,01;0,17;100,00
"110030 VILHENA";14,19;18,68;39,05;27,96;0,12;100,00
"110032 SAO MIGUEL DO GUAPORE";30,09;30,08;34,61;5,23;-;100,00
"110033 NOVA MAMORE";33,75;20,52;33,97;11,75;-;100,00
"110034 ALVORADA D'OESTE";26,94;24,65;38,45;9,64;0,32;100,00
"120005 ASSIS BRASIL";32,36;22,92;28,52;15,43;0,78;100,00
"120010 BRASILEIA";41,14;20,98;22,45;14,79;0,65;100,00
"120020 CRUZEIRO DO SUL";41,86;20,94;22,34;14,48;0,37;100,00
"120030 FEIJO";60,99;15,95;14,39;8,03;0,63;100,00
"120033 MANCIO LIMA";48,41;22,42;20,22;8,68;0,28;100,00
"120034 MANOEL URBANO";66,09;14,28;14,71;4,92;-;100,00
"120038 PLACIDO DE CASTRO";41,12;22,78;27,16;8,65;0,29;100,00
"120040 RIO BRANCO";22,44;16,70;29,39;30,87;0,59;100,00
"120045 SENADOR GUIOMARD";33,49;28,32;27,20;10,76;0,23;100,00
"120050 SENA MADUREIRA";55,90;19,01;13,32;11,77;-;100,00
"120060 TARAUACA";66,48;15,39;11,03;6,35;0,74;100,00
"120070 XAPURI";50,80;18,91;19,20;11,09;-;100,00
"130002 ALVARAES";49,13;21,39;22,64;6,84;-;100,00
"130006 AMATURA";43,80;29,58;19,15;7,47;-;100,00
"130008 ANAMA";38,04;35,53;22,07;4,35;-;100,00
"130010 ANORI";46,05;20,81;20,53;12,62;-;100,00
"130014 APUI";32,76;31,42;28,71;7,11;-;100,00
"130020 ATALAIA DO NORTE";67,66;14,64;12,60;5,10;-;100,00
"130030 AUTAZES";33,16;31,45;24,43;10,53;0,44;100,00
"130040 BARCELOS";43,93;25,06;22,78;8,23;-;100,00
"130050 BARREIRINHA";30,66;33,01;27,27;9,00;0,06;100,00
"130060 BENJAMIN CONSTANT";43,48;22,73;24,40;9,39;-;100,00
"130063 BERURI";57,13;27,83;10,96;4,08;-;100,00
"130068 BOA VISTA DO RAMOS";25,61;37,67;30,34;6,38;-;100,00
"130070 BOCA DO ACRE";54,82;21,61;16,37;7,20;-;100,00
"130080 BORBA";46,09;21,38;23,42;9,12;-;100,00
"130083 CAAPIRANGA";47,53;37,16;10,76;4,55;-;100,00
"130090 CANUTAMA";67,29;19,08;10,67;2,96;-;100,00
"130100 CARAUARI";63,13;16,92;13,17;6,77;-;100,00
"130110 CAREIRO";59,73;20,87;13,87;5,53;-;100,00
"130115 CAREIRO DA VARZEA";36,71;36,11;22,87;4,31;-;100,00
"130120 COARI";50,94;18,36;19,74;10,95;-;100,00
"130130 CODAJAS";54,78;18,24;17,05;9,93;-;100,00
"130140 EIRUNEPE";60,35;10,62;18,62;10,41;-;100,00
"130150 ENVIRA";80,11;6,80;7,46;5,63;-;100,00
"130160 FONTE BOA";53,76;27,43;14,15;4,61;0,05;100,00
"130165 GUAJARA";56,56;23,56;17,09;2,71;0,08;100,00
"130170 HUMAITA";54,31;17,82;20,07;7,76;0,04;100,00
"130180 IPIXUNA";65,96;14,98;14,02;5,04;-;100,00
"130185 IRANDUBA";27,19;34,57;29,44;8,80;-;100,00
"130190 ITACOATIARA";21,76;24,83;35,10;18,26;0,05;100,00
"130195 ITAMARATI";87,25;8,38;3,72;0,65;-;100,00
"130200 ITAPIRANGA";13,72;19,72;47,54;19,02;-;100,00
"130210 JAPURA";83,48;5,51;8,72;2,29;-;100,00
"130220 JURUA";67,17;19,38;9,28;4,17;-;100,00
"130230 JUTAI";66,88;17,56;12,97;2,59;-;100,00
"130240 LABREA";62,78;21,52;10,48;5,23;-;100,00
