 Escolaridade da população de 15 anos ou mais - Brasil
Distrib população p/escolarid por Município e Escolaridade
Período:2000
"Município";"Menos de 1 ano de estudo";"1 a 3 anos de estudo";"4 a 7 anos de estudo";"8 anos e mais de estudo";"Alfabetização de adultos";"Não determinada";"Total"
"110001 ALTA FLORESTA D'OESTE";15,76;23,12;39,00;20,33;0,19;1,60;100,00
"110002 ARIQUEMES";12,26;17,56;36,98;32,14;0,24;0,82;100,00
"110003 CABIXI";15,84;21,42;40,95;18,09;1,34;2,35;100,00
"110004 CACOAL";12,70;17,03;36,70;31,07;0,08;2,41;100,00
"110005 CEREJEIRAS";13,12;19,88;39,59;25,38;0,35;1,69;100,00
"110006 COLORADO DO OESTE";14,18;15,76;38,46;28,66;0,26;2,69;100,00
"110007 CORUMBIARA";20,27;24,96;41,91;11,10;0,21;1,56;100,00
"110008 COSTA MARQUES";14,46;21,79;41,55;21,09;-;1,11;100,00
"110009 ESPIGAO D'OESTE";14,95;23,26;39,05;20,13;0,05;2,56;100,00
"110010 GUAJARA-MIRIM";11,73;13,37;33,04;37,59;0,08;4,18;100,00
"110011 JARU";14,95;20,54;41,29;22,64;0,01;0,57;100,00
"110012 JI-PARANA";11,93;16,03;38,14;33,08;0,07;0,76;100,00
"110013 MACHADINHO D'OESTE";17,75;25,05;39,79;16,61;0,25;0,55;100,00
"110014 NOVA BRASILANDIA D'OESTE";15,66;21,07;37,12;23,16;0,22;2,77;100,00
"110015 OURO PRETO DO OESTE";14,43;20,80;38,25;25,56;0,14;0,82;100,00
"110018 PIMENTA BUENO";13,16;15,22;36,14;33,09;0,15;2,23;100,00
"110020 PORTO VELHO";8,61;11,47;31,56;47,57;0,09;0,71;100,00
"110025 PRESIDENTE MEDICI";18,06;20,92;38,89;20,21;0,15;1,78;100,00
"110026 RIO CRESPO";16,60;25,76;40,73;16,45;-;0,46;100,00
"110028 ROLIM DE MOURA";14,62;18,70;37,06;27,39;0,06;2,17;100,00
"110029 SANTA LUZIA D'OESTE";16,22;22,88;36,93;21,61;0,08;2,28;100,00
"110030 VILHENA";9,53;13,66;35,65;39,39;0,06;1,73;100,00
"110032 SAO MIGUEL DO GUAPORE";14,78;27,77;41,33;13,40;0,19;2,53;100,00
"110033 NOVA MAMORE";14,45;24,33;41,87;18,51;-;0,84;100,00
"110034 ALVORADA D'OESTE";16,74;25,16;36,77;20,63;0,08;0,62;100,00
"110037 ALTO ALEGRE DOS PARECIS";17,35;28,09;42,16;10,48;0,32;1,60;100,00
"110040 ALTO PARAISO";18,62;23,40;43,51;13,61;0,29;0,56;100,00
"110045 BURITIS";14,40;23,93;44,36;16,78;0,16;0,37;100,00
"110050 NOVO HORIZONTE DO OESTE";16,66;25,00;38,31;16,25;0,12;3,66;100,00
"110060 CACAULANDIA";12,04;28,10;45,51;13,24;0,20;0,91;100,00
"110070 CAMPO NOVO DE RONDONIA";17,30;30,25;40,45;11,69;-;0,31;100,00
"110080 CANDEIAS DO JAMARI";13,97;25,35;37,27;21,26;0,09;2,06;100,00
"110090 CASTANHEIRAS";16,53;23,10;38,98;19,54;-;1,85;100,00
"110092 CHUPINGUAIA";16,21;25,18;39,44;17,52;-;1,65;100,00
"110094 CUJUBIM";19,48;24,96;42,94;12,27;-;0,34;100,00
"110100 GOVERNADOR JORGE TEIXEIRA";21,50;30,30;39,84;7,26;0,19;0,91;100,00
"110110 ITAPUA DO OESTE";19,98;20,31;36,95;21,95;-;0,81;100,00
"110120 MINISTRO ANDREAZZA";19,90;20,88;39,85;18,13;-;1,24;100,00
