 Escolaridade da população de 15 anos ou mais - Brasil
Distrib população p/escolarid por Município e Escolaridade
Período:2010
"Município";"Sem instrução/1º ciclo fundamental incompleto";"1º ciclo fundamental completo/2º ciclo incompleto";"2º ciclo fundamental completo ou mais";"Não determinada";"Total"
"110001 ALTA FLORESTA D'OESTE";36,41;13,18;37,29;13,12;100,00
"110002 ARIQUEMES";25,96;12,59;51,30;10,15;100,00
"110003 CABIXI";36,72;12,92;36,59;13,78;100,00
"110004 CACOAL";29,46;12,37;48,49;9,68;100,00
"110005 CEREJEIRAS";30,48;14,27;44,23;11,02;100,00
"110006 COLORADO DO OESTE";34,50;12,20;43,44;9,86;100,00
"110007 CORUMBIARA";39,71;15,28;31,35;13,66;100,00
"110008 COSTA MARQUES";35,22;14,67;36,92;13,19;100,00
"110009 ESPIGAO D'OESTE";35,50;12,40;40,71;11,39;100,00
"110010 GUAJARA-MIRIM";24,81;15,03;47,48;12,69;100,00
"110011 JARU";31,17;13,41;42,99;12,43;100,00
"110012 JI-PARANA";24,23;13,78;52,65;9,33;100,00
"110013 MACHADINHO D'OESTE";38,61;15,55;32,29;13,55;100,00
"110014 NOVA BRASILANDIA D'OESTE";39,13;14,45;37,23;9,19;100,00
"110015 OURO PRETO DO OESTE";30,63;14,04;42,53;12,80;100,00
"110018 PIMENTA BUENO";27,03;11,19;49,80;11,98;100,00
"110020 PORTO VELHO";17,25;12,12;59,88;10,74;100,00
"110025 PRESIDENTE MEDICI";36,43;13,56;38,67;11,34;100,00
"110026 RIO CRESPO";36,03;18,12;35,56;10,29;100,00
"110028 ROLIM DE MOURA";27,93;13,94;47,07;11,06;100,00
"110029 SANTA LUZIA D'OESTE";32,15;14,80;41,30;11,75;100,00
"110030 VILHENA";21,10;13,49;54,71;10,70;100,00
"110032 SAO MIGUEL DO GUAPORE";36,39;13,07;35,91;14,62;100,00
"110033 NOVA MAMORE";38,71;16,20;29,91;15,18;100,00
"110034 ALVORADA D'OESTE";35,36;14,12;38,80;11,71;100,00
"110037 ALTO ALEGRE DOS PARECIS";40,73;15,68;29,35;14,25;100,00
"110040 ALTO PARAISO";42,59;13,38;30,97;13,06;100,00
"110045 BURITIS";36,24;13,75;35,84;14,18;100,00
"110050 NOVO HORIZONTE DO OESTE";40,56;12,01;35,93;11,50;100,00
"110060 CACAULANDIA";34,92;14,86;32,79;17,44;100,00
"110070 CAMPO NOVO DE RONDONIA";39,08;13,76;28,61;18,55;100,00
"110080 CANDEIAS DO JAMARI";27,65;15,54;41,50;15,31;100,00
"110090 CASTANHEIRAS";31,80;14,54;38,47;15,18;100,00
"110092 CHUPINGUAIA";34,08;16,48;38,25;11,19;100,00
"110094 CUJUBIM";34,87;18,16;31,06;15,92;100,00
"110100 GOVERNADOR JORGE TEIXEIRA";44,08;14,35;30,02;11,56;100,00
"110110 ITAPUA DO OESTE";31,43;19,96;34,12;14,49;100,00
"110120 MINISTRO ANDREAZZA";34,38;17,72;37,94;9,96;100,00
"110130 MIRANTE DA SERRA";36,50;17,54;33,75;12,20;100,00
"110140 MONTE NEGRO";38,32;14,31;32,15;15,21;100,00
"110143 NOVA UNIAO";38,79;18,01;29,18;14,01;100,00
"110145 PARECIS";37,94;13,85;32,64;15,57;100,00
"110146 PIMENTEIRAS DO OESTE";33,38;11,66;43,18;11,78;100,00
"110147 PRIMAVERA DE RONDONIA";35,05;21,17;32,81;10,98;100,00
"110148 SAO FELIPE D'OESTE";35,48;16,50;36,74;11,29;100,00
"110149 SAO FRANCISCO DO GUAPORE";32,41;15,03;35,69;16,86;100,00
"110150 SERINGUEIRAS";43,69;14,79;29,35;12,17;100,00
"110155 TEIXEIROPOLIS";39,37;16,97;32,45;11,21;100,00
"110160 THEOBROMA";40,42;15,92;28,05;15,61;100,00
"110170 URUPA";37,96;16,71;31,02;14,32;100,00
"110175 VALE DO ANARI";39,96;17,25;30,68;12,10;100,00
"110180 VALE DO PARAISO";40,73;12,07;34,12;13,08;100,00
"120001 ACRELANDIA";40,16;11,61;34,58;13,65;100,00
"120005 ASSIS BRASIL";37,32;8,14;38,84;15,70;100,00
"120010 BRASILEIA";43,52;7,81;37,30;11,37;100,00
"120013 BUJARI";42,61;10,20;31,87;15,32;100,00
"120017 CAPIXABA";45,27;12,62;28,54;13,57;100,00
"120020 CRUZEIRO DO SUL";32,67;8,46;47,85;11,03;100,00
"120025 EPITACIOLANDIA";34,78;9,15;43,87;12,21;100,00
"120030 FEIJO";54,71;6,98;29,33;8,98;100,00
"120032 JORDAO";55,24;14,53;22,79;7,45;100,00
"120033 MANCIO LIMA";34,81;10,72;43,73;10,74;100,00
"120034 MANOEL URBANO";48,68;8,59;30,15;12,58;100,00
"120035 MARECHAL THAUMATURGO";53,78;12,92;23,99;9,32;100,00
"120038 PLACIDO DE CASTRO";38,23;9,70;38,12;13,95;100,00
"120039 PORTO WALTER";50,87;9,40;27,41;12,31;100,00
"120040 RIO BRANCO";21,07;8,60;59,87;10,46;100,00
"120042 RODRIGUES ALVES";45,18;9,21;34,28;11,33;100,00
"120043 SANTA ROSA DO PURUS";55,92;4,00;29,03;11,04;100,00
"120045 SENADOR GUIOMARD";37,03;12,59;39,57;10,81;100,00
"120050 SENA MADUREIRA";45,48;8,12;36,29;10,11;100,00
"120060 TARAUACA";47,35;9,47;30,30;12,88;100,00
"120070 XAPURI";44,58;7,81;34,74;12,87;100,00
"120080 PORTO ACRE";47,92;11,93;29,91;10,23;100,00
"130002 ALVARAES";47,19;13,71;28,96;10,15;100,00
"130006 AMATURA";42,89;15,88;34,32;6,91;100,00
"130008 ANAMA";30,79;12,42;44,75;12,04;100,00
"130010 ANORI";36,14;16,56;35,88;11,42;100,00
"130014 APUI";33,56;14,05;37,06;15,32;100,00
"130020 ATALAIA DO NORTE";57,67;13,98;20,67;7,68;100,00
"130030 AUTAZES";35,14;15,77;33,56;15,52;100,00
"130040 BARCELOS";48,51;12,04;29,14;10,31;100,00
"130050 BARREIRINHA";29,08;16,08;42,29;12,55;100,00
"130060 BENJAMIN CONSTANT";34,35;20,37;36,74;8,53;100,00
"130063 BERURI";52,41;12,97;23,31;11,30;100,00
"130068 BOA VISTA DO RAMOS";33,61;12,66;37,79;15,94;100,00
"130070 BOCA DO ACRE";44,55;12,14;33,74;9,57;100,00
"130080 BORBA";40,22;15,33;31,59;12,85;100,00
"130083 CAAPIRANGA";43,37;12,34;32,75;11,54;100,00
"130090 CANUTAMA";47,76;12,61;29,46;10,17;100,00
"130100 CARAUARI";42,77;12,03;32,34;12,86;100,00
"130110 CAREIRO";39,14;13,25;34,70;12,91;100,00
"130115 CAREIRO DA VARZEA";40,20;14,89;33,43;11,48;100,00
"130120 COARI";37,46;16,89;36,02;9,63;100,00
"130130 CODAJAS";40,05;13,03;34,10;12,82;100,00
"130140 EIRUNEPE";41,76;16,10;31,45;10,69;100,00
"130150 ENVIRA";52,07;12,28;26,30;9,35;100,00
"130160 FONTE BOA";46,20;14,69;28,97;10,15;100,00
"130165 GUAJARA";51,35;9,66;27,38;11,60;100,00
"130170 HUMAITA";38,45;13,44;39,12;9,00;100,00
"130180 IPIXUNA";57,77;6,29;25,43;10,51;100,00
"130185 IRANDUBA";29,94;17,32;37,68;15,06;100,00
"130190 ITACOATIARA";26,25;15,05;44,80;13,90;100,00
"130195 ITAMARATI";70,92;7,65;14,31;7,12;100,00
"130200 ITAPIRANGA";21,45;15,15;50,09;13,32;100,00
"130210 JAPURA";55,78;11,68;23,55;8,99;100,00
"130220 JURUA";53,88;10,96;24,54;10,61;100,00
"130230 JUTAI";52,32;12,54;25,98;9,16;100,00
"130240 LABREA";50,62;12,44;27,06;9,88;100,00
"130250 MANACAPURU";32,38;15,91;40,29;11,41;100,00
"130255 MANAQUIRI";35,67;14,11;37,43;12,79;100,00
"130260 MANAUS";13,55;12,62;65,29;8,54;100,00
"130270 MANICORE";39,74;14,06;34,38;11,83;100,00
"130280 MARAA";49,41;9,89;26,95;13,75;100,00
"130290 MAUES";31,84;19,27;36,72;12,17;100,00
"130300 NHAMUNDA";30,46;17,25;37,55;14,75;100,00
"130310 NOVA OLINDA DO NORTE";39,15;17,46;30,07;13,31;100,00
"130320 NOVO AIRAO";43,49;11,26;34,16;11,10;100,00
"130330 NOVO ARIPUANA";43,64;12,03;31,75;12,57;100,00
"130340 PARINTINS";21,72;15,43;52,55;10,31;100,00
"130350 PAUINI";53,81;8,49;25,21;12,48;100,00
"130353 PRESIDENTE FIGUEIREDO";25,10;15,28;46,98;12,63;100,00
"130356 RIO PRETO DA EVA";28,51;14,36;41,53;15,60;100,00
"130360 SANTA ISABEL DO RIO NEGRO";54,67;7,94;29,96;7,42;100,00
"130370 SANTO ANTONIO DO ICA";49,73;14,26;25,58;10,43;100,00
"130380 SAO GABRIEL DA CACHOEIRA";35,14;13,99;39,65;11,22;100,00
"130390 SAO PAULO DE OLIVENCA";42,66;16,89;32,45;8,00;100,00
"130395 SAO SEBASTIAO DO UATUMA";28,14;18,46;37,77;15,63;100,00
"130400 SILVES";25,29;15,75;48,12;10,83;100,00
"130406 TABATINGA";28,54;17,49;45,30;8,67;100,00
"130410 TAPAUA";50,95;12,35;26,42;10,29;100,00
"130420 TEFE";29,18;15,81;42,97;12,04;100,00
"130423 TONANTINS";41,21;15,27;29,64;13,88;100,00
"130426 UARINI";47,74;11,80;25,46;15,00;100,00
"130430 URUCARA";25,20;15,21;47,97;11,62;100,00
"130440 URUCURITUBA";32,41;15,48;37,77;14,34;100,00
"140002 AMAJARI";59,75;9,22;22,70;8,33;100,00
"140005 ALTO ALEGRE";54,46;8,52;30,59;6,43;100,00
"140010 BOA VISTA";14,98;9,48;67,17;8,37;100,00
"140015 BONFIM";37,55;12,78;38,83;10,83;100,00
"140017 CANTA";40,33;10,92;37,99;10,76;100,00
"140020 CARACARAI";35,09;12,28;41,64;11,00;100,00
"140023 CAROEBE";33,37;13,83;39,76;13,03;100,00
"140028 IRACEMA";42,69;10,92;33,07;13,31;100,00
"140030 MUCAJAI";37,87;10,16;39,80;12,18;100,00
"140040 NORMANDIA";33,66;12,17;39,93;14,24;100,00
"140045 PACARAIMA";28,60;13,87;48,24;9,29;100,00
"140047 RORAINOPOLIS";35,04;14,10;39,10;11,76;100,00
"140050 SAO JOAO DA BALIZA";30,56;12,19;46,57;10,68;100,00
"140060 SAO LUIZ";31,01;9,41;43,52;16,06;100,00
"140070 UIRAMUTA";58,35;12,44;21,59;7,62;100,00
"150010 ABAETETUBA";28,13;15,99;42,56;13,32;100,00
"150013 ABEL FIGUEIREDO";35,57;15,03;35,08;14,32;100,00
"150020 ACARA";51,05;14,79;20,65;13,50;100,00
"150030 AFUA";57,63;15,04;19,56;7,76;100,00
"150034 AGUA AZUL DO NORTE";48,45;11,18;22,61;17,76;100,00
"150040 ALENQUER";40,79;16,04;30,49;12,68;100,00
"150050 ALMEIRIM";29,93;14,20;44,37;11,51;100,00
"150060 ALTAMIRA";30,18;12,33;45,37;12,11;100,00
"150070 ANAJAS";57,70;14,48;16,62;11,20;100,00
"150080 ANANINDEUA";13,12;13,10;64,11;9,68;100,00
"150085 ANAPU";42,02;15,51;26,92;15,54;100,00
"150090 AUGUSTO CORREA";48,01;13,83;25,20;12,96;100,00
"150095 AURORA DO PARA";50,27;11,51;25,84;12,39;100,00
"150100 AVEIRO";39,36;14,32;34,48;11,84;100,00
"150110 BAGRE";56,70;12,25;20,44;10,61;100,00
"150120 BAIAO";35,70;14,75;37,92;11,63;100,00
"150125 BANNACH";35,77;18,52;27,14;18,57;100,00
"150130 BARCARENA";20,95;15,85;52,47;10,73;100,00
"150140 BELEM";12,97;11,94;66,73;8,36;100,00
"150145 BELTERRA";32,65;17,68;36,12;13,55;100,00
"150150 BENEVIDES";20,16;16,95;53,05;9,84;100,00
"150157 BOM JESUS DO TOCANTINS";45,36;12,44;30,24;11,96;100,00
"150160 BONITO";43,14;13,49;25,15;18,22;100,00
"150170 BRAGANCA";32,49;15,86;38,77;12,87;100,00
"150172 BRASIL NOVO";42,76;12,59;30,24;14,41;100,00
"150175 BREJO GRANDE DO ARAGUAIA";35,58;15,10;36,01;13,31;100,00
"150178 BREU BRANCO";41,25;16,54;29,00;13,21;100,00
"150180 BREVES";51,59;14,12;23,49;10,80;100,00
"150190 BUJARU";40,85;12,91;34,00;12,25;100,00
"150195 CACHOEIRA DO PIRIA";52,63;14,53;18,05;14,79;100,00
"150200 CACHOEIRA DO ARARI";45,02;14,63;27,76;12,58;100,00
"150210 CAMETA";33,73;16,48;38,10;11,69;100,00
"150215 CANAA DOS CARAJAS";27,83;12,83;49,02;10,31;100,00
"150220 CAPANEMA";27,30;13,59;47,47;11,64;100,00
"150230 CAPITAO POCO";46,35;13,77;26,73;13,15;100,00
"150240 CASTANHAL";21,02;15,26;51,44;12,28;100,00
"150250 CHAVES";61,97;10,10;11,48;16,45;100,00
"150260 COLARES";26,59;23,41;40,03;9,97;100,00
"150270 CONCEICAO DO ARAGUAIA";32,11;13,75;44,31;9,83;100,00
"150275 CONCORDIA DO PARA";34,95;15,13;31,57;18,35;100,00
"150276 CUMARU DO NORTE";46,95;13,96;21,05;18,03;100,00
"150277 CURIONOPOLIS";36,72;12,59;39,47;11,23;100,00
"150280 CURRALINHO";47,34;17,29;21,44;13,93;100,00
"150285 CURUA";35,71;15,49;35,78;13,02;100,00
"150290 CURUCA";29,17;21,12;38,19;11,52;100,00
"150293 DOM ELISEU";35,57;14,81;37,32;12,30;100,00
"150295 ELDORADO DOS CARAJAS";43,35;18,60;25,81;12,24;100,00
"150300 FARO";34,59;14,69;36,13;14,59;100,00
"150304 FLORESTA DO ARAGUAIA";42,24;15,84;30,57;11,35;100,00
"150307 GARRAFAO DO NORTE";49,65;13,37;24,49;12,49;100,00
"150309 GOIANESIA DO PARA";44,28;14,70;27,07;13,95;100,00
"150310 GURUPA";53,60;12,66;23,08;10,67;100,00
"150320 IGARAPE-ACU";33,73;14,39;38,17;13,71;100,00
"150330 IGARAPE-MIRI";41,33;17,36;29,23;12,09;100,00
"150340 INHANGAPI";33,62;15,48;35,85;15,06;100,00
"150345 IPIXUNA DO PARA";57,83;13,12;19,20;9,85;100,00
"150350 IRITUIA";40,77;14,60;29,41;15,22;100,00
"150360 ITAITUBA";31,32;15,23;40,77;12,68;100,00
"150370 ITUPIRANGA";44,77;15,59;26,33;13,30;100,00
"150375 JACAREACANGA";52,24;14,25;20,69;12,82;100,00
"150380 JACUNDA";34,84;14,91;37,07;13,17;100,00
"150390 JURUTI";31,13;17,90;38,46;12,50;100,00
"150400 LIMOEIRO DO AJURU";39,58;16,02;30,73;13,67;100,00
"150405 MAE DO RIO";38,72;16,58;33,98;10,72;100,00
"150410 MAGALHAES BARATA";33,01;14,50;37,31;15,18;100,00
"150420 MARABA";25,10;14,65;49,53;10,72;100,00
"150430 MARACANA";39,52;15,65;32,90;11,93;100,00
"150440 MARAPANIM";27,76;18,21;40,11;13,92;100,00
"150442 MARITUBA";16,72;13,22;57,21;12,85;100,00
"150445 MEDICILANDIA";42,40;16,36;27,47;13,76;100,00
"150450 MELGACO";67,28;12,44;11,13;9,15;100,00
"150460 MOCAJUBA";33,52;19,07;34,98;12,43;100,00
"150470 MOJU";41,71;16,72;28,64;12,93;100,00
"150480 MONTE ALEGRE";34,91;16,50;36,31;12,28;100,00
"150490 MUANA";45,42;14,22;29,11;11,25;100,00
"150495 NOVA ESPERANCA DO PIRIA";49,63;13,31;21,25;15,82;100,00
"150497 NOVA IPIXUNA";40,97;16,21;29,70;13,12;100,00
"150500 NOVA TIMBOTEUA";35,99;15,44;36,75;11,81;100,00
"150503 NOVO PROGRESSO";31,70;16,53;39,37;12,40;100,00
"150506 NOVO REPARTIMENTO";45,63;14,79;26,17;13,41;100,00
"150510 OBIDOS";36,91;14,06;35,70;13,33;100,00
"150520 OEIRAS DO PARA";45,05;20,97;21,52;12,45;100,00
"150530 ORIXIMINA";30,65;16,22;41,16;11,96;100,00
"150540 OUREM";39,15;15,59;31,26;14,00;100,00
