"municipality","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","Total"
"110001 ALTA FLORESTA D'OESTE",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"110004 CACOAL",-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,2
"110011 JARU",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1
"110012 JI-PARANA",-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1
"110020 PORTO VELHO",-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,1,-,-,3
"110030 VILHENA",-,-,-,-,-,-,-,-,-,-,-,1,-,6,-,-,-,-,7
"110032 SAO MIGUEL DO GUAPORE",2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"110143 NOVA UNIAO",-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"110146 PIMENTEIRAS DO OESTE",-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
"130008 ANAMA",-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,7
"130010 ANORI",-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1
"130020 ATALAIA DO NORTE",-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,3
"130030 AUTAZES",-,-,-,-,-,-,-,-,-,-,-,25,-,-,-,-,-,-,25
"130040 BARCELOS",-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,2
"130063 BERURI",-,-,-,-,-,-,-,-,-,-,-,12,-,-,-,-,-,-,12
"130080 BORBA",-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1
"130083 CAAPIRANGA",-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,4
"130100 CARAUARI",-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1
"130110 CAREIRO",-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,-,-,-,11
"130115 CAREIRO DA VARZEA",-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,5
"130120 COARI",-,-,-,-,-,-,-,-,-,-,-,100,3,-,-,-,-,-,103
"130130 CODAJAS",-,-,-,-,-,-,-,-,-,-,-,14,-,-,-,-,-,-,14
"130160 FONTE BOA",-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1
"130185 IRANDUBA",-,-,-,-,-,-,-,-,-,-,-,17,-,-,-,-,-,-,17
"130190 ITACOATIARA",-,-,-,-,-,-,-,-,-,-,-,140,-,-,-,-,-,-,140
"130200 ITAPIRANGA",-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1
"130220 JURUA",-,-,-,-,-,-,-,-,-,-,-,57,-,-,-,-,-,-,57
"130230 JUTAI",-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,2
"130240 LABREA",-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,6
"130250 MANACAPURU",-,-,-,-,-,-,-,-,-,-,-,893,-,-,-,-,-,-,893
"130255 MANAQUIRI",-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,7
"130260 MANAUS",-,-,-,-,-,-,-,-,-,-,-,7297,3,5,-,-,-,-,7305
"130270 MANICORE",-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1
"130290 MAUES",-,-,-,-,-,-,-,-,-,-,-,29,-,-,-,-,-,-,29
"130300 NHAMUNDA",-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,6
"130310 NOVA OLINDA DO NORTE",-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,4
"130320 NOVO AIRAO",-,-,-,-,-,-,-,-,-,-,-,26,-,-,-,-,-,-,26
"130330 NOVO ARIPUANA",-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,3
"130340 PARINTINS",-,-,-,-,-,-,-,-,-,-,-,17,-,-,-,-,-,-,17
"130353 PRESIDENTE FIGUEIREDO",-,-,-,-,-,-,-,-,-,-,-,19,-,-,-,-,-,-,19
"130356 RIO PRETO DA EVA",-,-,-,-,-,-,-,-,-,-,-,26,-,-,-,-,-,-,26
"130380 SAO GABRIEL DA CACHOEIRA",-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1
"130406 TABATINGA",-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1
"130410 TAPAUA",-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,5
"130420 TEFE",-,-,-,-,-,-,-,-,-,-,-,37,-,-,-,-,-,-,37
"130423 TONANTINS",-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,3
"130430 URUCARA",-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1
"140002 AMAJARI",-,-,-,-,-,-,-,-,-,-,-,94,-,-,-,-,-,-,94
"140010 BOA VISTA",-,-,-,-,-,-,-,-,1,-,-,194,1,-,-,-,-,-,196
"140017 CANTA",-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,3
