"municipality","1991","2000","2010","Total"
"110001 ALTA FLORESTA D'OESTE",90.70,58.90,48.42,67.47
"110002 ARIQUEMES",77.79,47.61,31.05,51.19
"110003 CABIXI",92.91,62.52,48.17,67.45
"110004 CACOAL",79.99,50.00,32.10,53.48
"110005 CEREJEIRAS",83.57,57.74,36.99,61.00
"110006 COLORADO DO OESTE",86.09,56.08,40.26,66.56
"110007 CORUMBIARA",...,75.09,46.47,62.08
"110008 COSTA MARQUES",82.38,64.14,57.40,65.88
"110009 ESPIGAO D'OESTE",81.33,55.83,37.43,56.49
"110010 GUAJARA-MIRIM",69.27,56.49,46.22,56.41
"110011 JARU",83.32,54.87,34.24,57.53
"110012 JI-PARANA",74.50,48.74,28.65,48.88
"110013 MACHADINHO D'OESTE",81.38,61.96,52.78,60.98
"110014 NOVA BRASILANDIA D'OESTE",95.57,65.16,48.05,67.04
"110015 OURO PRETO DO OESTE",85.55,51.41,31.92,63.61
"110018 PIMENTA BUENO",80.20,48.13,26.73,54.98
"110020 PORTO VELHO",62.83,46.33,25.30,42.07
"110025 PRESIDENTE MEDICI",86.63,59.30,41.11,64.14
"110026 RIO CRESPO",...,50.86,54.50,52.79
"110028 ROLIM DE MOURA",84.14,54.53,33.41,58.30
"110029 SANTA LUZIA D'OESTE",93.43,67.67,41.21,68.99
"110030 VILHENA",65.67,42.96,23.41,39.36
"110032 SAO MIGUEL DO GUAPORE",92.38,64.20,54.43,68.39
"110033 NOVA MAMORE",83.34,72.94,54.20,65.09
"110034 ALVORADA D'OESTE",91.23,71.30,45.33,70.36
"110037 ALTO ALEGRE DOS PARECIS",...,71.82,56.22,63.99
"110040 ALTO PARAISO",...,55.46,44.70,49.15
"110045 BURITIS",...,55.74,43.03,48.51
"110050 NOVO HORIZONTE DO OESTE",...,62.16,56.53,59.60
"110060 CACAULANDIA",...,51.96,45.69,48.71
"110070 CAMPO NOVO DE RONDONIA",...,62.28,54.88,58.38
"110080 CANDEIAS DO JAMARI",...,69.91,39.53,51.54
"110090 CASTANHEIRAS",...,67.85,41.68,55.82
"110092 CHUPINGUAIA",...,61.70,38.35,47.78
"110094 CUJUBIM",...,58.81,41.39,46.45
"110100 GOVERNADOR JORGE TEIXEIRA",...,61.92,55.12,58.86
"110110 ITAPUA DO OESTE",...,64.59,45.55,54.00
"110120 MINISTRO ANDREAZZA",...,64.28,49.57,57.23
"110130 MIRANTE DA SERRA",...,56.02,48.94,52.56
"110140 MONTE NEGRO",...,61.00,43.85,51.78
"110143 NOVA UNIAO",...,72.27,53.51,63.32
"110145 PARECIS",...,78.88,58.53,66.98
"110146 PIMENTEIRAS DO OESTE",...,71.32,38.79,55.88
"110147 PRIMAVERA DE RONDONIA",...,72.53,47.11,61.11
"110148 SAO FELIPE D'OESTE",...,69.96,50.43,60.88
"110149 SAO FRANCISCO DO GUAPORE",...,46.38,48.98,47.93
"110150 SERINGUEIRAS",...,65.54,60.32,62.94
"110155 TEIXEIROPOLIS",...,66.02,34.22,51.24
"110160 THEOBROMA",...,74.21,54.48,64.35
